,0
0,Maryland
1,North Dakota
2,Indiana
3,Vermont
4,Illinois
5,Oregon
6,Oklahoma
7,New Jersey
8,Texas
9,Alaska
10,Wyoming
11,California
12,Rhode Island
13,Iowa
14,Pennsylvania
15,New Hampshire
16,Minnesota
17,Nevada
18,Utah
19,Colorado
20,Florida
21,Kentucky
22,Connecticut
23,Mississippi
24,Montana
25,Tennessee
26,Alabama
27,Washington
28,Arkansas
29,West Virginia
30,New Mexico
31,North Carolina
32,Georgia
33,Missouri
34,Virginia
35,Idaho
36,Maine
37,South Dakota
38,Hawaii
39,South Carolina
40,Ohio
41,Wisconsin
42,Delaware
43,Louisiana
44,Arizona
45,Michigan
46,Kansas
47,Massachusetts
48,Nebraska
